author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299944351/,Москва,sale,flat,10,17,1,38.1,11400000,Москворечье-Сабурово,Кантемировская ,18К2,Кантемировская,
БЭСТ ФАКТОРИ НЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/294946395/,Москва,sale,flat,10,17,1,39.5,11300000,, Бориса Пастернака,29к2,Рассказовка,
Классика,real_estate_agent,https://www.cian.ru/sale/flat/294166690/,Москва,sale,flat,14,16,1,38.2,11400000,Метрогородок,Открытое шоссе,17К1,Бульвар Рокоссовского,
Миэль Офис на Юго-Западе,real_estate_agent,https://www.cian.ru/sale/flat/299987453/,Москва,sale,flat,13,14,1,37.7,11300000,Чертаново Южное,Россошанская ,4К2,Красный Строитель,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/301167819/,Москва,sale,flat,12,12,1,36.0,11300000,Измайлово,Измайловский проезд,14К2,Измайловская,
ID 112611111,homeowner,https://www.cian.ru/sale/flat/301355980/,Москва,sale,flat,16,22,1,39.4,11300000,Марьино, Верхние Поля,28,Братиславская,
ID 109035913,homeowner,https://www.cian.ru/sale/flat/300599193/,Москва,sale,flat,2,16,1,40.3,11350000,, Эдварда Грига,16к2,Бульвар Адмирала Ушакова,Скандинавия
ID 1349164,unknown,https://www.cian.ru/sale/flat/300528636/,Москва,sale,flat,5,12,1,38.9,11400000,Чертаново Южное,Россошанский проезд,8К2,Улица Академика Янгеля,
Елена Теплякова,realtor,https://www.cian.ru/sale/flat/296578928/,Москва,sale,flat,8,16,1,39.0,11499000,Северное Измайлово,Щелковское шоссе,66,Щёлковская,
Елена Теплякова,realtor,https://www.cian.ru/sale/flat/301309755/,Москва,sale,flat,8,16,1,39.0,11500000,Северное Измайлово,Щелковское шоссе,66,Щёлковская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/279367183/,Москва,sale,flat,16,22,1,38.1,11500000,Северный,Челобитьевское шоссе,14к3,Марк,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/301127474/,Москва,sale,flat,4,16,1,36.1,11500000,Можайский,Рябиновая ,4,Рабочий посёлок,
BOYKOV Company,real_estate_agent,https://www.cian.ru/sale/flat/299487467/,Москва,sale,flat,4,9,1,34.2,11500000,Нижегородский,Нижегородская ,53,Нижегородская,
Евгений Блинников,realtor,https://www.cian.ru/sale/flat/299147351/,Москва,sale,flat,3,8,1,31.0,11500000,Таганский,Нижегородская ,9А,Римская,
ID 90205766,homeowner,https://www.cian.ru/sale/flat/301929180/,Москва,sale,flat,9,9,1,32.0,11500000,Кузьминки, Маршала Чуйкова,11К1,Волжская,
ID 15754205,homeowner,https://www.cian.ru/sale/flat/301923092/,Москва,sale,flat,7,17,1,38.5,11500000,Некрасовка,проспект Защитников Москвы,1,Некрасовка,
ID 73625238,homeowner,https://www.cian.ru/sale/flat/300461258/,Москва,sale,flat,9,23,1,37.9,11500000,Солнцево, Богданова,6к1,Солнцево,
ID 515276,homeowner,https://www.cian.ru/sale/flat/300889823/,Москва,sale,flat,4,9,1,40.0,11500000,Митино, Генерала Белобородова,35/2,Пенягино,
Наталья Санарова,realtor,https://www.cian.ru/sale/flat/301634983/,Москва,sale,flat,12,19,1,37.0,11500000,, Бориса Пастернака,21,Рассказовка,
Ксения Краснокутская,realtor,https://www.cian.ru/sale/flat/301518197/,Москва,sale,flat,4,8,1,32.9,11500000,Преображенское,Большая Черкизовская ,4К1,Преображенская площадь,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/294398120/,Москва,sale,flat,6,12,1,35.0,11600000,Зюзино,Перекопская ,1К1,Зюзино,
ID 104814327,homeowner,https://www.cian.ru/sale/flat/301028356/,Москва,sale,flat,11,12,1,37.0,11600000,Гольяново,Байкальская ,29,Щёлковская,
ID 22291618,homeowner,https://www.cian.ru/sale/flat/301382019/,Москва,sale,flat,14,22,1,34.0,11649000,, Родниковая,30к1,Саларьево,Румянцево-Парк
Навигатор,real_estate_agent,https://www.cian.ru/sale/flat/301559082/,Москва,sale,flat,2,12,1,40.5,11750000,Северное Измайлово,13-я Парковая ,35,Щёлковская,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/299159327/,Москва,sale,flat,8,25,1,37.0,11750000,Чертаново Северное,Северное Чертаново мкр,7кВ,Чертановская,
Вера Чебышева,realtor,https://www.cian.ru/sale/flat/300793062/,Москва,sale,flat,8,9,1,33.0,11700000,Ясенево, Инессы Арманд,4К1,Новоясеневская,
Валентина Фомичева,realtor,https://www.cian.ru/sale/flat/298772084/,Москва,sale,flat,9,17,1,38.4,11700000,Нагатино-Садовники,Варшавское шоссе,53К4,Нагатинская,
ID 11511418,unknown,https://www.cian.ru/sale/flat/300207855/,Москва,sale,flat,2,9,1,31.7,11750000,Южнопортовый, 2-я Машиностроения,9А,Дубровка,
ID 112866864,homeowner,https://www.cian.ru/sale/flat/298072517/,Москва,sale,flat,12,15,1,38.8,11650000,Зябликово,Ореховый бульвар,59К2,Красногвардейская,
Елена Агафонова,realtor,https://www.cian.ru/sale/flat/301579111/,Москва,sale,flat,19,22,1,38.6,11650000,Солнцево,Волынская ,3,Солнцево,
Лилия Селиванова,realtor,https://www.cian.ru/sale/flat/298622054/,Москва,sale,flat,3,9,1,32.0,11850000,Даниловский,Крутицкая набережная,25,Автозаводская,
Ксения Иванова,realtor,https://www.cian.ru/sale/flat/298517117/,Москва,sale,flat,2,9,1,36.6,11990000,Филевский парк,2-я Филевская ,5К3,Филёвский парк,
Советник по недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/300553819/,Москва,sale,flat,1,5,1,30.5,11900000,Хорошево-Мневники, Демьяна Бедного,3К3,Народное Ополчение,
Юлия Немцова,realtor,https://www.cian.ru/sale/flat/301811271/,Москва,sale,flat,9,18,1,32.0,11990000,Останкинский,Березовая аллея,19к3,Ботанический сад,Апарт-комплекс Легендарный квартал
Виталий Устинов,realtor,https://www.cian.ru/sale/flat/300066004/,Москва,sale,flat,15,17,1,40.0,13490000,Войковский,Нарвская ,1Ак3,Водный стадион,
Dream City,real_estate_agent,https://www.cian.ru/sale/flat/301872596/,Москва,sale,flat,14,15,1,37.0,13500000,Коптево,3-й Новомихалковский проезд,8К1,Коптево,
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/299486441/,Москва,sale,flat,6,12,1,41.15,13400000,Нагатинский затон,Коломенская ,21К1,Кленовый бульвар,
Агентство недвижимости Марии Тарасовой,real_estate_agent,https://www.cian.ru/sale/flat/301089422/,Москва,sale,flat,2,12,1,35.3,13500000,Пресненский, Трехгорный Вал,5,Улица 1905 года,
ID 82221388,homeowner,https://www.cian.ru/sale/flat/301873640/,Москва,sale,flat,7,12,1,35.3,13490000,Коньково,Профсоюзная ,105,Коньково,
ID 86955980,homeowner,https://www.cian.ru/sale/flat/301144101/,Москва,sale,flat,2,16,1,37.3,13549900,Строгино,Таллинская ,12,Строгино,
ID 102128970,homeowner,https://www.cian.ru/sale/flat/300232347/,Москва,sale,flat,10,12,1,35.0,13400000,Таганский,Большая Андроньевская ,20,Марксистская,
ID 13497544,homeowner,https://www.cian.ru/sale/flat/300941910/,Москва,sale,flat,2,20,1,39.5,13500000,Митино,Пятницкое шоссе,21,Митино,LIFE-Митинская
Московский Риэлторский Центр,real_estate_agent,https://www.cian.ru/sale/flat/301124744/,Москва,sale,flat,3,5,1,29.7,13680000,Филевский парк,Сеславинская ,30,Филёвский парк,
Anastasiia Nikolaenko,realtor,https://www.cian.ru/sale/flat/299958576/,Москва,sale,flat,7,16,1,38.0,13600000,Строгино,Таллинская ,12,Строгино,
ID 109690173,homeowner,https://www.cian.ru/sale/flat/300809525/,Москва,sale,flat,15,18,1,55.4,13659999,, Александры Монаховой,92к3,Бунинская аллея,Бунинские луга
Свой родной дом,real_estate_agent,https://www.cian.ru/sale/flat/299085185/,Москва,sale,flat,21,33,1,41.1,13700000,Отрадное,Сигнальный проезд,16к1,Владыкино,Сигнальный 16
Самолет Плюс МСК-Север,real_estate_agent,https://www.cian.ru/sale/flat/300837148/,Москва,sale,flat,11,17,1,36.0,13800000,Тропарево-Никулино, Академика Анохина,7,Юго-Западная,
SPENСER ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/301825365/,Москва,sale,flat,13,14,1,38.6,13900000,Южнопортовый,Шарикоподшипниковская ,28,Дубровка,
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/301063479/,Москва,sale,flat,4,17,1,44.5,13800000,Печатники, Гурьянова,2К1,Печатники,
ID 29499081,unknown,https://www.cian.ru/sale/flat/300592124/,Москва,sale,flat,9,28,1,40.3,13900000,Щукино,Волоколамское шоссе,24к1,Стрешнево,Волоколамское 24
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/299360335/,Москва,sale,flat,5,27,1,28.1,14000000,Лефортово, Крузенштерна,10к1,Авиамоторная,Символ
ID 108243543,homeowner,https://www.cian.ru/sale/flat/301812529/,Москва,sale,flat,10,12,1,35.3,13990000,Восточное Измайлово,16-я Парковая ,19К1,Первомайская,
ID 116168170,homeowner,https://www.cian.ru/sale/flat/301620273/,Москва,sale,flat,11,14,1,37.0,14000000,Котловка, Винокурова,24К4,Крымская,
Навигатор,real_estate_agent,https://www.cian.ru/sale/flat/300151987/,Москва,sale,flat,7,9,1,31.2,14100000,Марьина роща,Трифоновская ,4,Достоевская,
FN Realty,real_estate_agent,https://www.cian.ru/sale/flat/301575532/,Москва,sale,flat,2,5,1,35.6,14200000,Марьина роща,проезд 1-й Марьиной рощи,3,Марьина Роща,
Московский Риэлторский Центр,real_estate_agent,https://www.cian.ru/sale/flat/297722022/,Москва,sale,flat,2,23,1,42.4,14200000,Бабушкинский,Печорская ,7,Бабушкинская,
KINS Group,real_estate_agent,https://www.cian.ru/sale/flat/300386735/,Москва,sale,flat,3,9,1,31.0,14100000,Ломоносовский, Гарибальди,14К1,Новые Черёмушки,
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/294227594/,Москва,sale,flat,3,13,1,34.6,14200000,Проспект Вернадского, Лобачевского,2,Проспект Вернадского,
Елена Люлява,realtor,https://www.cian.ru/sale/flat/300660959/,Москва,sale,flat,6,9,1,38.2,14190000,Нагатино-Садовники,Каширское шоссе,7К1,Каширская,
Александра Антипова,realtor,https://www.cian.ru/sale/flat/298965296/,Москва,sale,flat,3,12,1,40.0,14200000,Восточное Измайлово,9-я Парковая ,8,Первомайская,
MDco,real_estate_agent,https://www.cian.ru/sale/flat/297372899/,Москва,sale,flat,2,5,1,54.0,14300000,Ростокино,Сельскохозяйственная ,9,Улица Сергея Эйзенштейна,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/301308237/,Москва,sale,flat,7,12,1,39.0,14250000,Филевский парк,Филевский бульвар,8к1,Шелепиха,
ID 504845,real_estate_agent,https://www.cian.ru/sale/flat/301174660/,Москва,sale,flat,5,17,1,35.5,14400000,Таганский,переулок Ковров,26С1,Площадь Ильича,
RED,real_estate_agent,https://www.cian.ru/sale/flat/301789490/,Москва,sale,flat,1,2,1,28.4,14500000,Тверской,1-й Самотечный переулок,16/2,Достоевская,
Александр Филатов,realtor,https://www.cian.ru/sale/flat/297728942/,Москва,sale,flat,5,15,1,32.1,14500000,Хорошевский,Ходынский бульвар,20А,ЦСКА,Лайнер
ID 76451439,homeowner,https://www.cian.ru/sale/flat/295879334/,Москва,sale,flat,2,26,1,48.0,14400000,Южное Бутово,Старокрымская ,15к1,Улица Скобелевская,Эталон-Сити
Дмитрий Корнилов,realtor,https://www.cian.ru/sale/flat/301930577/,Москва,sale,flat,14,14,1,39.8,14600000,Кунцево,Рублевское шоссе,85,Молодёжная,
